#OTU ID	Br1	Br2	Br3	Br4	Br5	Br6	Br7	Br8	Br9	Br10	Br11	Br12	Br13	Br14	Br15	Br16	Br17	Br18	Br19	Br20	Br21	Br22	Br23	Br24	Br25	Br26	Br27	Br28	Br29	Br30	Br31	Br32	Br33	Br34	Br35	Br36	Br37	Br38	Br39	Br40	Br41	Br42	Br43	Br44	Br45	Br46	Br47	Br48	Br49	Br50	Br51	Br52	Br53	Br54	Br55	Br56	Br57	Br58	Br59	Br60	Br61	Br62	Br63	Br64	Br65	Br66	Br67	Br68	Br69	Br70	Br71	Br72	Br73	Br74	Br75	Br76	Br77	Br78	Br79	Br80	Br81	Br82	Br83	Br84	Br85	Br86	Br87	Br88	Nr1	NR2	Nr3	Nr4	Nr5	Nr6	Nr7	Nr8	Nr9	Nr10	Nr11	Nr12	Nr13	Nr14	Nr15	Nr16	Nr17	Nr18	Nr19	Nr20	Nr21	Nr22	Nr23	Nr24	Nr25	Nr26
Zotu1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75294	46178	56183	29637	77846	63884	54120	0	67370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13337	11673	10333	0	11532	17242	11599	14484	13973	0	12165	4016	0	4844	0	0	0	9149	0	0	0	0	0	0	3650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11607	12157	6945	6678	0
Zotu3	2685	3617	0	0	3054	0	0	0	3447	3328	3818	0	3973	0	0	2703	4614	2920	0	4828	3118	0	3724	3268	0	3943	3680	3875	0	3610	3125	3579	2836	4675	0	2776	0	0	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4171	0	0	0	3818	0	0	0	3272	0	0	6146	0	2767	0	0	0	0	0	0	0	0	3353	0	0	0	0	0	0	0	0	0	2882	5467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9102	8739	10639	0	7946	13624	8633	7878	10834	0	8887	0	0	3973	0	0	0	3041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	0	0	0	1828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8269	0	1924	0	0	0	0	0	0	4745	0	0	4130	1664	0	0	5147	0	0	0	0	0	6812	0	0	0	2284	0	0	0	1826	0	0	7586	0	0	0	0	0	0	0	0	1725	4128	6563	6207	0	4079	2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350	0	2003	0	0	0	0	0	0	0	0	0	0	1608	0	0	0	0	0	0	1698	0	0	0	0	0	3106	0	0	2276	0	0	0	2403	0	2525	0	0	2999	3425	0	0	0	0	5522	4525	4415	3947	4824	4484	4231	4128	5130	2120	0	0	0	0	0	0	0	0	0	2983	3547	0	0	2087	0	0
Zotu7	0	0	0	0	1181	1162	0	0	0	3810	1196	1247	1526	0	0	1281	2816	0	0	0	1648	1383	0	1700	0	2121	3007	1259	2061	0	1858	0	0	1664	1877	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736	0	1439	1326	1795	0	1184	0	1333	1152	0	1368	0	0	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	0	0	0	0	2370	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	1201	0	0	0	1347	1263	0	1197	1402	1398	0	0	0	0	1207	0	2938	1493	1302	1610	0	0	1682	1439	0	1413	1962	2000	1738	1468	0	1437	0	2035	2166	2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	1420	0	0	0	1394	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	3010	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	5171	0	0	0	0	0	0	0	0	0	3255	0	0	0	0	0	0	2271	0	0	0	1505	0	0	0	4662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1636	0	0	0	0	0	0	0	0	0	0	6521	0	0	0	0	0	0	0	0	0	0	1955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2816	4223	2327	1366	1620	1628	2495	2434	2217	2203	2113	1112	0	0	0	0	0	0	0	0	0	1757	1180	0	0	0	0	0
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5318	3550	4784	4177	4913	5033	4386	4333	5138	2352	0	0	0	0	0	0	0	0	0	3018	3784	1243	0	1667	0	0
Zotu11	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	4104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19934	0	13812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
