OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu2999	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2970	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2980	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2965	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2962	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2955	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2923	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2897	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2837	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2859	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2842	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2808	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2831	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2813	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2792	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2745	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2772	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2720	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2719	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2677	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2636	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2628	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2625	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2620	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2614	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2585	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2593	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2578	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2580	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2577	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2575	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2558	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2757	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2486	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2496	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2536	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2528	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2526	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2507	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2477	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2481	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2438	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2338	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2428	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2413	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2405	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2392	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2391	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2375	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2368	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2366	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2328	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2774	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2306	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2713	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2300	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2293	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2234	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2227	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2171	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2237	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2117	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2195	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2181	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured organism
Zotu2188	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2163	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2100	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2150	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2144	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2129	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2095	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2106	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2096	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2015	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2297	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2058	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1991	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2044	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2037	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2784	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1969	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1956	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1955	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1922	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1931	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1928	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1861	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1896	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1894	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1885	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1865	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1746	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1859	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1848	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1843	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1819	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1801	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1715	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1792	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1774	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1713	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1748	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1737	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1730	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1719	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1665	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2943	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1672	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1643	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1637	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1622	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1616	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1590	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1588	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1584	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1557	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1540	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1471	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1521	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1488	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1501	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1492	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1489	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1484	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1446	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1453	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1421	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2220	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1575	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1414	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1370	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1356	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1343	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1339	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1331	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1327	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1324	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1316	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1317	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2361	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2298	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1304	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1298	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2499	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1268	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1265	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1231	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1229	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1184	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1178	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1166	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1154	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2296	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1116	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1083	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1766	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1060	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu846	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu960	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu938	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu929	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu909	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2619	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu870	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu873	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu825	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu805	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu800	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu789	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu715	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu767	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2436	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu760	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu752	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu734	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
Zotu722	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu699	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2632	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu696	Eukaryota	Phragmoplastophyta	Embryophyta	?	?	?	Hevea brasiliensis
Zotu596	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu625	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu621	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu624	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu622	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1899	Bacteria	Firmicutes	Clostridia	?	?	?	?
